139,High,Cisadane-Uws17,172.16.51.9
139,High,a2is-kportweb,172.16.51.10
139,High,a2is-kportdb,172.16.51.11
139,High,a2is-paw,172.16.7.7
139,High,a2is-antrian-db,172.16.7.15
139,High,a2is-repodb,172.16.7.20
139,High,a2-mob-db,172.16.7.30
139,High,A2-Titan-DB,172.16.7.50
139,High,A2-HLT-RetailDB,172.16.7.77
139,High,a2-SPDB-19,172.16.7.95
139,High,a2FinanDB19,172.16.7.146
139,High,a2is-ctidb,172.16.7.167
139,High,#N/A,172.16.7.189
139,High,a2is-b2bpmt-1,172.16.7.190
139,High,a2is-b2bpmt-2,172.16.7.191
139,High,A2-KeyVault,172.16.7.224
139,High,#N/A,172.16.7.225
139,High,a2is-DTSunrise,172.16.8.11
139,High,a2is-DTSunrise-1,172.16.8.12
139,High,a2is-DBSunrise,172.16.8.13
139,High,#N/A,172.16.83.10
139,High,a2is-FinanSSIS,172.16.83.103
139,High,a2-SPIndex-19,172.16.83.104
139,High,a2-beyondb2b3,172.16.83.12
139,High,a2-SPOWA-19,172.16.83.129
139,High,a2-g5rptrtl-m,172.16.83.13
139,High,A2IS-SSIS1,172.16.83.156
139,High,a2is-PAM-apps,172.16.83.157
139,High,AAB-GLDBHealth,172.16.83.21
139,High,AAB-GLDBHealth,172.16.83.216
139,High,AAB-BeyondB2B1,172.16.83.219
139,High,A2IS-FSMO19,172.16.83.22
139,High,AAB-BEYONDB2B2,172.16.83.220
139,High,a2is-K2WorkSpc,172.16.83.23
139,High,a2is-K2WorkApp,172.16.83.24
139,High,AAB-BYNDSSIS2,172.16.83.241
139,High,#N/A,172.16.83.249
139,High,a2is-bireport02,172.16.83.25
139,High,A2-NPS-Cisco01,172.16.83.27
139,High,A2-NPS-Cisco02,172.16.83.28
139,High,AAB-DHCP12,172.16.83.30
139,High,A2-NPS-Aruba01,172.16.83.31
139,High,A2-NPS-Aruba02,172.16.83.32
139,High,AAB-HealthFS,172.16.83.35
139,High,AAB-BEYONDAPPFAB,172.16.83.38
139,High,AAB-BeyondAPPSV,172.16.83.39
139,High,a2-ssis16-1,172.16.83.41
139,High,AAB-BeyondSSIS,172.16.83.56
139,High,a2is-bireport01,172.16.83.60
139,High,AAB-BYNDSSIS3,172.16.83.71
139,High,AAB-BYNDSSIS4,172.16.83.72
139,High,AAB-BYNDSSIS5,172.16.83.73
139,High,#N/A,172.16.83.82
139,High,a2-g5rptrtl-d,172.16.83.83
139,High,a2-g5rptrtl-w,172.16.83.90
139,High,a2-god-rp1,172.16.9.12
139,High,a2-god-rp2,172.16.9.13
139,High,a2-god-pmt1,172.16.9.14
139,High,a2-god-pmt2,172.16.9.15
139,High,#N/A,172.16.83.77
139,High,aab-wmapp,172.16.9.3
139,High,aab-wmweb,172.16.9.4
139,High,SurveyMobileWeb,172.16.9.61
139,High,A2-dcmain19-1,172.16.93.101
139,High,Dashboard-DCO,172.16.93.102
139,High,a2-gmall-web-lx,172.16.93.106
139,High,a2-gmall-db-lx,172.16.93.109
139,High,#N/A,172.16.93.104
139,High,a2is-ssis,172.16.93.111
139,High,a2is-ctiapp,172.16.93.112
139,High,cisadane-uws4RS,172.16.93.114
139,High,AAB-GLAPHealth,172.16.93.119
139,High,a2is-mobagentdb,172.16.93.120
139,High,A2IS-MobAgentApp,172.16.93.121
139,High,a2-god-privapi1,172.16.93.122
139,High,a2-god-privapi2,172.16.93.123
139,High,cisadane-uws10-1,172.16.93.125
139,High,a2is-emco,172.16.93.128
139,High,a2-gmall-web-lx2,172.16.93.129
139,High,#N/A,172.16.93.133
139,High,cisadane-uws3rs,172.16.93.135
139,High,a2is-JenKins,172.16.93.14
139,High,a2issunsystems,172.16.93.140
139,High,a2is-finanuws,172.16.93.141
139,High,a2-hlt-bst1,172.16.93.145
139,High,A2-mobcusapi,172.16.93.147
139,High,A2-GTW-AAB-12,172.16.93.154
139,High,A2-GTW-FIF-12,172.16.93.155
139,High,Aab-SchedMedic,172.16.93.156
139,High,A2is-RepoS,172.16.93.157
139,High,a2-deliveryX-2012,172.16.93.158
139,High,cisadane-uws4-1,172.16.93.159
139,High,a2-b2b-ght,172.16.93.16
139,High,cisadane-uws3-1,172.16.93.160
139,High,a2is-APImgr,172.16.93.166
139,High,a2-AGESTL-12,172.16.93.167
139,High,aab-helpdesk,172.16.93.169
139,High,a2is-webbilling,172.16.93.17
139,High,A2-CommbizAPI,172.16.93.171
139,High,Aab-TFGen,172.16.93.172
139,High,A2-mobcussch,172.16.93.174
139,High,cisadane-uws11,172.16.93.18
139,High,a2is-presensi,172.16.93.184
